x,y_ref,y_taylor,abs_err,rel_err,orden
-8,-0.999999774929676,162.666666666667,163.666666441596,163.666703278114,3
-7.984,-0.999999767610951,161.660713301333,162.660713068944,162.660750869521,3
-7.968,-0.99999976005424,160.658847744,161.658847504054,161.658886293419,3
-7.952,-0.999999752251803,159.661061802667,160.661061554918,160.661101358417,3
-7.936,-0.999999744195651,158.667347285333,159.667347029529,159.667387873141,3
-7.92,-0.999999735877533,157.677696,158.677695735878,158.677737646233,3
-7.904,-0.99999972728893,156.692099754667,157.692099481956,157.692142486348,3
-7.888,-0.999999718421048,155.710550357333,156.710550075754,156.710594202159,3
-7.872,-0.999999709264804,154.733039616,155.733039325265,155.733084602354,3
-7.856,-0.999999699810823,153.759559338667,154.759559038477,154.759605495636,3
-7.84,-0.999999690049421,152.790101333333,153.790101023383,153.790148690728,3
-7.824,-0.999999679970603,151.824657408,152.824657087971,152.824705996369,3
-7.808,-0.999999669564047,150.863219370667,151.863219040231,151.863269221315,3
-7.792,-0.999999658819096,149.905779029333,150.905778688152,150.90583017434,3
-7.776,-0.999999647724746,148.952328192,149.952327839725,149.952380664238,3
-7.76,-0.999999636269636,148.002858666667,149.002858302936,149.00291249982,3
-7.744,-0.999999624442034,147.057362261333,148.057361885775,148.057417489918,3
-7.728,-0.999999612229828,146.115830784,147.11583039623,147.115887443383,3
-7.712,-0.999999599620512,145.178256042667,146.178255642287,146.178314169086,3
-7.696,-0.999999586601173,144.244629845333,145.244629431934,145.244689475919,3
-7.68,-0.999999573158477,143.314944,144.314943573158,144.315005172795,3
-7.664,-0.999999559278658,142.389190314667,143.389189873945,143.389253068649,3
-7.648,-0.999999544947503,141.467360597333,142.467360142281,142.467424972438,3
-7.632,-0.999999530150335,140.549446656,141.54944618615,141.549512693142,3
-7.616,-0.999999514871999,139.635440298667,140.635439813539,140.635508039762,3
-7.6,-0.999999499096851,138.725333333333,139.72533283243,139.725402821324,3
-7.584,-0.999999482808734,137.819117568,138.819117050809,138.819188846881,3
-7.568,-0.999999465990969,136.916784810667,137.916784276658,137.916857925505,3
-7.552,-0.999999448626332,136.018326869333,137.01832631796,137.018401866298,3
-7.536,-0.999999430697041,135.123735552,136.123734982697,136.123812478386,3
-7.52,-0.999999412184735,134.233002666667,135.233002078851,135.233081570921,3
-7.504,-0.999999393070455,133.346120021333,134.346119414404,134.346200953082,3
-7.488,-0.999999373334626,132.463079424,133.463078797335,133.463162434077,3
-7.472,-0.999999352957038,131.583872682667,132.583872035624,132.583957823141,3
-7.456,-0.999999331916822,130.708491605333,131.70849093725,131.708578929536,3
-7.44,-0.999999310192431,129.836928,130.836927310192,130.837017562557,3
-7.424,-0.999999287761618,128.969173674667,129.969172962428,129.969265531528,3
-7.408,-0.999999264601411,128.105220437333,129.105219701935,129.105314645801,3
-7.392,-0.999999240688093,127.245060096,128.245059336688,128.245156714763,3
-7.376,-0.999999215997174,126.388684458667,127.388683674664,127.38878354783,3
-7.36,-0.999999190503368,125.536085333333,126.536084523837,126.536186954454,3
-7.344,-0.999999164180568,124.687254528,125.687253692181,125.687358744117,3
-7.328,-0.999999137001817,123.842183850667,124.842182987668,124.842290726339,3
-7.312,-0.999999108939281,123.000865109333,124.000864218273,124.00097471067,3
-7.296,-0.999999079964223,122.163290112,123.163289191964,123.163402506701,3
-7.28,-0.999999050046969,121.329450666667,122.329449716714,122.329565924056,3
-7.264,-0.999999019156881,120.499338581333,121.49933760049,121.499456772396,3
-7.248,-0.999998987262326,119.672945664,120.672944651262,120.673066861423,3
-7.232,-0.999998954330641,118.850263722667,119.850262676997,119.850388000876,3
-7.216,-0.9999989203281,118.031284565333,119.031283485661,119.031412000532,3
-7.2,-0.999998885219883,117.216,118.21599888522,118.216130670212,3
-7.184,-0.999998848970035,116.404401834667,117.404400683637,117.404535819775,3
-7.168,-0.999998811541435,115.596481877333,116.596480688875,116.596619259126,3
-7.152,-0.999998772895751,114.792231936,115.792230708896,115.792372798208,3
-7.136,-0.999998732993407,113.991643818667,114.99164255166,114.991788247014,3
-7.12,-0.99999869179354,113.194709333333,114.194708025127,114.194857415577,3
-7.104,-0.999998649253959,112.401420288,113.401418937254,113.401572113979,3
-7.088,-0.999998605331098,111.611768490667,112.611767095998,112.611924152346,3
-7.072,-0.999998559979977,110.825745749333,111.825744309313,111.825905340856,3
-7.056,-0.999998513154153,110.043343872,111.043342385154,111.043507489732,3
-7.04,-0.999998464805672,109.264554666667,110.264553131472,110.264722409249,3
-7.024,-0.999998414885022,108.489369941333,109.489368356218,109.489541909731,3
-7.008,-0.99999836334108,107.717781504,108.717779867341,108.717957801557,3
-6.992,-0.999998310121059,106.949781162667,107.949779472788,107.949961895155,3
-6.976,-0.99999825517046,106.185360725333,107.185358980504,107.185546001011,3
-6.96,-0.999998198433007,105.424512,106.424510198433,106.424701929663,3
-6.944,-0.999998139850597,104.667226794667,105.667224934517,105.667421491708,3
-6.928,-0.999998079363237,103.913496917333,104.913494996697,104.913696497799,3
-6.912,-0.999998016908983,103.163314176,104.163312192909,104.163518758647,3
-6.896,-0.999997952423877,102.416670378667,103.416668331091,103.416880085025,3
-6.88,-0.99999788584188,101.673557333333,102.673555219175,102.673772287765,3
-6.864,-0.999997817094807,100.933966848,101.933964665095,101.934187177761,3
-6.848,-0.999997746112256,100.197890730667,101.197888476779,101.198116565974,3
-6.832,-0.999997672821534,99.4653207893333,100.465318462155,100.465552263425,3
-6.816,-0.999997597147587,98.736248832,99.7362464291476,99.7364860812038,3
-6.8,-0.999997519012918,98.0106666666667,99.0106641856796,99.0109098304679,3
-6.784,-0.99999743833751,97.2885661013333,98.2885635396708,98.2888153224422,3
-6.768,-0.999997355038747,96.569938944,97.5699362990387,97.5701943684223,3
-6.752,-0.999997269031323,95.8547770026667,96.854774271698,96.8550387797751,3
-6.736,-0.99999718022716,95.1430720853333,96.1430692655605,96.1433403679404,3
-6.72,-0.999997088535315,94.434816,95.4348130885353,95.4350909444323,3
