h,N,ErrorEulerMax,ErrorEulerFin,ErrorRK4Max,ErrorRK4Fin
1,11,0.211175539922301,0.0238308333518276,0.012197406446959,0.000920635662976232
0.5,21,0.0596442335075231,0.0119936680828539,0.000141982279963482,1.05170896602669e-07
0.25,41,0.0277644530880512,0.0058449817094704,1.8975476662797e-05,4.14081693655977e-08
0.125,81,0.0135811231692772,0.00288829199928381,1.13563887277346e-06,2.99009442206177e-09
0.0625,161,0.00667932783244091,0.00143608323949915,7.0389374218216e-08,1.97229760301454e-10
