t,Context,Euler,RK4,Ref
0,0.1,0.3,0.3,0.3
0.25,0.130901699437524,0.2875,0.291986666763164,0.291986641440134
0.5,0.158778525234802,0.284287924859381,0.29187151143432,0.291871477341825
0.75,0.180901700079586,0.288446565560659,0.297679717445547,0.297679686128059
1,0.195105696643585,0.297616169885473,0.307090022127389,0.307090000012571
1.25,0.200001914046957,0.309190572810685,0.317634635624649,0.317634619681357
1.5,0.19515501555115,0.320542229721089,0.32691984623181,0.326919752478389
1.75,0.181673881091986,0.32926320489374,0.332891235582852,0.332890376720383
2,0.166104780784741,0.333523774555019,0.334501113875592,0.334497107438534
2.25,0.17306138926224,0.333359497931827,0.334208951876994,0.334201631786821
2.5,0.247151776468577,0.334954908005909,0.34283372046301,0.342836243006984
2.75,0.380618613791067,0.354873488622314,0.37638884562466,0.376407821101323
3,0.441221474770755,0.405668955992292,0.431923996208791,0.431929918483144
3.25,0.33061861379117,0.465265705185944,0.474589948349398,0.47457452128895
3.5,0.152046124843228,0.489762145485494,0.47470642130572,0.47469812323801
3.75,0.0421596899551874,0.466553408510614,0.439594242835625,0.439597002342883
4,0.0122206070903233,0.418774154935584,0.393121821686989,0.39312474940172
4.25,0.0198705416957735,0.369482537341217,0.350309104182333,0.350310101611235
4.5,0.041271704957496,0.328264855597508,0.316215520458561,0.31621585959593
4.75,0.0691099903621143,0.297549674887194,0.29200743447789,0.292007614762172
5,0.100085524160733,0.277633463116823,0.277619578162441,0.277619648705149
5.25,0.131480836320454,0.267950661267403,0.272299250076969,0.272299079772329
5.5,0.161818793449248,0.267327037689091,0.274859887075002,0.274859114112902
5.75,0.193268394343591,0.274365856340267,0.284285243601843,0.284283483321044
6,0.234082434121033,0.288387222883631,0.300897080258018,0.300894871981092
6.25,0.295185088010469,0.310859428553436,0.327414224000865,0.32741378499755
6.5,0.375217563989037,0.345798271986874,0.367716043324776,0.367719330213366
6.75,0.444976250652663,0.396377878985774,0.421705774634405,0.421710842185541
7,0.458778525229247,0.458074706775718,0.479856352072946,0.479858371794761
7.25,0.394976250652663,0.515509999736065,0.525059881611689,0.525057278540503
7.5,0.280111912359521,0.549815312432222,0.5429167147123,0.542912960828457
7.75,0.164283388572975,0.551116376468075,0.530639148335238,0.530637630192017
8,0.0801982572622706,0.523297676552809,0.496063940711321,0.496064594941102
8.25,0.0314649954685721,0.477935031299276,0.450169386639986,0.450170578211225
8.5,0.00793461658493039,0.426059401254009,0.401458331538445,0.401459158018937
8.75,0.000579136240868319,0.374785630243491,0.355008935414399,0.355009356782203
9,0.00497982751714759,0.328082210523271,0.313751894742065,0.31375208908686
9.25,0.0191080763151575,0.288316891087149,0.279575643058907,0.279575723064772
9.5,0.0412223410358613,0.257054298780045,0.253731247397724,0.253731262650297
9.75,0.0690983600412824,0.235228096691505,0.236860888250342,0.23686086534898
10,0.100000003164345,0.223099174615387,0.228944197733027,0.228944156324858
