t,Context,Euler,RK4,Ref
0,0.1,0.3,0.3,0.3
0.5,0.158778525234802,0.275,0.29187253865613,0.291871477341825
1,0.195105696643585,0.285639262617401,0.307091201324616,0.307090000012571
1.5,0.19515501555115,0.311782295284844,0.326921597357018,0.326919752478389
2,0.166104780784741,0.331414229239208,0.334554616588344,0.334497107438534
2.5,0.247151776468577,0.331613062321776,0.342836953851822,0.342836243006984
3,0.441221474770755,0.372285684975621,0.43178793620318,0.431929918483144
3.5,0.152046124843228,0.499825001117093,0.474823810440291,0.47469812323801
4,0.0122206070903233,0.450891813259434,0.393070957179951,0.39312474940172
4.5,0.041271704957496,0.344279163489737,0.316205303393915,0.31621585959593
5,0.100085524160733,0.278845225096051,0.277614447633132,0.277619648705149
5.5,0.161818793449248,0.259176680902404,0.274867797013982,0.274859114112902
6,0.234082434121033,0.275291907401427,0.300931925740216,0.300894871981092
6.5,0.375217563989037,0.323510147611587,0.367664405164782,0.367719330213366
7,0.458778525229247,0.430241392703209,0.479821359908611,0.479858371794761
7.5,0.280111912359521,0.55207030714203,0.54298069995313,0.542912960828457
8,0.0801982572622706,0.554108686536283,0.496050303491706,0.496064594941102
8.5,0.00793461658493039,0.455680643533348,0.40144382228139,0.401459158018937
9,0.00497982751714759,0.345727790942476,0.313747300948815,0.31375208908686
9.5,0.0412223410358613,0.261785756965431,0.253729825354829,0.253731262650297
10,0.100000003164345,0.216950488242004,0.228944261495754,0.228944156324858
