h,C_euler_fin,C_rk4_fin,C_ref_fin
1,0.20511332297303,0.228023520661881,0.228944156324858
0.5,0.216950488242004,0.228944261495754,0.228944156324858
0.25,0.223099174615387,0.228944197733027,0.228944156324858
0.125,0.226055864325574,0.228944159314952,0.228944156324858
0.0625,0.227508073085359,0.228944156522087,0.228944156324858
