t,Context,Euler,RK4,Ref
0,0.1,0.3,0.3,0.3
1,0.195105696643585,0.25,0.307141848000391,0.307090000012571
2,0.166104780784741,0.320105696643585,0.334999417023439,0.334497107438534
3,0.441221474770755,0.326157629106534,0.421967123737826,0.431929918483144
4,0.0122206070903233,0.604300289324021,0.380927342954761,0.39312474940172
5,0.100085524160733,0.314370751752334,0.270521532592911,0.277619648705149
6,0.234082434121033,0.2572709000369,0.297343233036073,0.300894871981092
7,0.458778525229247,0.362717884139483,0.475472510954384,0.479858371794761
8,0.0801982572622706,0.640137467298989,0.493160807155657,0.496064594941102
9,0.00497982751714759,0.400266990911765,0.312134463857599,0.31375208908686
10,0.100000003164345,0.20511332297303,0.228023520661881,0.228944156324858
