t,Context,Euler,RK4,Ref
0,0.1,0.3,0.3,0.3
0.0625,0.107845909572785,0.296875,0.297166098253707,0.297166098233936
0.125,0.115643446504025,0.294338025598299,0.294900924548532,0.294900924513736
0.1875,0.123344536385598,0.292367677704854,0.293182515332858,0.29318251528724
0.25,0.130901699437524,0.290940221300677,0.291986641492381,0.291986641440134
0.3125,0.138268343236622,0.290029695599876,0.291286923720391,0.291286923664209
0.375,0.145399049974383,0.289608039064669,0.291054962191102,0.291054962136016
0.4375,0.152249856473162,0.289645228467297,0.291260479704341,0.291260479651521
0.5,0.158778525234802,0.290109431107267,0.291871477387911,0.291871477341825
0.5625,0.164944804852107,0.29096716921234,0.29285440196749,0.292854401929378
0.625,0.17071067818223,0.292183495477711,0.294174323543744,0.294174323515727
0.6875,0.176040596765228,0.293722178630422,0.295795122752922,0.295795122736451
0.75,0.180901700079586,0.295545897846048,0.297679686131671,0.297679686128059
0.8125,0.185264018382527,0.297616444793333,0.299790108460891,0.299790108470995
0.875,0.189100658141734,0.299894932042449,0.302087900831371,0.302087900855775
0.9375,0.192387969554144,0.302342006549981,0.304534203164896,0.304534203203739
1,0.195105696643585,0.304918066942428,0.307089999959609,0.307090000012571
1.0625,0.197237112503665,0.307583483390701,0.309716338152964,0.309716338218967
1.125,0.19876914651909,0.310298819066221,0.312374546304194,0.312374546380938
1.1875,0.199692518896601,0.313025052627845,0.315026454977118,0.315026455060036
1.25,0.200001914046957,0.315723802164262,0.317634619601047,0.317634619681357
1.3125,0.19969625374773,0.318357552974564,0.320162549812759,0.320162549873934
1.375,0.198779181299603,0.320889895303342,0.322574954333482,0.322574954345159
1.4375,0.197259948395263,0.323285784906337,0.324838019309958,0.32483801921821
1.5,0.19515501555115,0.325511850902718,0.326919752765805,0.326919752478389
1.5625,0.192490836498649,0.327536794033955,0.328790450675453,0.328790450041539
1.625,0.189308482291699,0.32933194650156,0.330423373088663,0.330423371873337
1.6875,0.185670927572855,0.330872103316617,0.331795761793398,0.331795759650654
1.75,0.181673881091986,0.332136783061276,0.33289038026939,0.332890376720383
1.8125,0.1774608559829,0.333112126158861,0.333697801326808,0.333697795756577
1.875,0.173242564289649,0.333793675715327,0.334219687446977,0.334219679135641
1.9375,0.16931951183726,0.334190283617327,0.334473272545136,0.334473260755227
2,0.166104780784741,0.334329306744114,0.334497123311982,0.334497107438534
