Term,Estimate,StdError,tStat,pValue,CI_Lower,CI_Upper
(Intercept),0.0656604462057138,0.0231879622330683,2.8316609086104,0.105368566830517,-0.0341093027937249,0.165430195205153
x1,-0.0120504910842308,0.016887621189917,-0.713569480787841,0.549525474008155,-0.084712060496002,0.0606110783275404
