Model,R2,R2_adj,RMSE_train,MAE_train,AIC,BIC,RMSE_test,MAE_test
Linear,0.202927298567576,-0.195609052148635,0.00900290677097733,0.00743020484769332,-33.6816622339035,-34.9090735116637,0.018429060604477,0.0152641863058498
Quadratic,0.441239219728711,-0.676282340813867,0.00753783701361582,0.00681057204292131,-33.1025600507004,-34.9436769673407,0.0498152833157143,0.0439784137194235
