iter,x_k,f_x,delta
1,0.551102083581914,-0.00980198019801981,0.0769867696822794
2,0.544683389083952,0.0301701823051458,0.00641869449796229
3,0.487916091663266,0.0248983780911349,0.0567672974206864
4,0.512756931272122,-0.00752079698303987,0.0248408396088557
5,0.507727210603252,0.00349975289984161,0.00502972066886953
6,0.506747051998436,0.000484520481360717,0.000980158604815595
7,0.506697870163207,2.20931883136988e-05,4.91818352289508e-05
