iter,a,b,mid,f_mid,interval
1,0.474115313899635,0.506697708214901,0.490406511057268,-0.0067197789720862,0.0162911971576331
2,0.490406511057268,0.506697708214901,0.498552109636085,-0.00357769688815146,0.00814559857881655
3,0.498552109636085,0.506697708214901,0.502624908925493,-0.00181368906758272,0.00407279928940829
4,0.502624908925493,0.506697708214901,0.504661308570197,-0.000909353286290715,0.00203639964470415
5,0.504661308570197,0.506697708214901,0.505679508392549,-0.000454841155847929,0.00101819982235207
6,0.505679508392549,0.506697708214901,0.506188608303725,-0.000227403871671861,0.000509099911176036
7,0.506188608303725,0.506697708214901,0.506443158259313,-0.000113690529969457,0.000254549955588046
8,0.506443158259313,0.506697708214901,0.506570433237107,-5.68415098551878e-05,0.000127274977794023
9,0.506570433237107,0.506697708214901,0.506634070726004,-2.84197031873434e-05,6.36374888970392e-05
10,0.506634070726004,0.506697708214901,0.506665889470453,-1.42095745389037e-05,3.18187444485196e-05
11,0.506665889470453,0.506697708214901,0.506681798842677,-7.10471624076892e-06,1.59093722242876e-05
12,0.506681798842677,0.506697708214901,0.506689753528789,-3.55234014259853e-06,7.95468611214378e-06
13,0.506689753528789,0.506697708214901,0.506693730871845,-1.77616554919435e-06,3.97734305607189e-06
14,0.506693730871845,0.506697708214901,0.506695719543373,-8.8808164067089e-07,1.98867152800819e-06
