threshold,Precision,Recall,F1
0.0670132844194924,0.5,1,0.666666666666667
0.0861644730560061,0.50251256281407,1,0.668896321070234
0.094818370008885,0.505050505050505,1,0.671140939597315
0.0997364264116939,0.50761421319797,1,0.673400673400673
0.103910000063497,0.510204081632653,1,0.675675675675676
0.124978763155321,0.512820512820513,1,0.677966101694915
0.14229429772008,0.515463917525773,1,0.680272108843537
0.155090270716126,0.518134715025907,1,0.68259385665529
0.163830552912925,0.520833333333333,1,0.684931506849315
0.166632205657189,0.523560209424084,1,0.687285223367698
0.166799557868475,0.526315789473684,1,0.689655172413793
0.174288164064795,0.529100529100529,1,0.692041522491349
0.17921545147402,0.531914893617021,1,0.694444444444444
0.1843598344336,0.53475935828877,1,0.696864111498258
0.187987169875627,0.537634408602151,1,0.699300699300699
0.188236131673479,0.540540540540541,1,0.701754385964912
0.192784471161575,0.543478260869565,1,0.704225352112676
0.194181974201264,0.546448087431694,1,0.706713780918728
0.20207936948327,0.549450549450549,1,0.709219858156028
0.211196791767099,0.552486187845304,1,0.711743772241993
0.21345319694452,0.555555555555556,1,0.714285714285714
0.215129062006634,0.558659217877095,1,0.716845878136201
0.215207375636207,0.561797752808989,1,0.719424460431655
0.216041125266339,0.564971751412429,1,0.722021660649819
0.216863348843238,0.568181818181818,1,0.72463768115942
0.217641347484315,0.571428571428571,1,0.727272727272727
0.220183641543586,0.574712643678161,1,0.72992700729927
0.228546983621284,0.578034682080925,1,0.732600732600733
0.239967343786627,0.581395348837209,1,0.735294117647059
0.24109709692792,0.584795321637427,1,0.738007380073801
0.245547107000945,0.588235294117647,1,0.740740740740741
0.246644289068401,0.591715976331361,1,0.743494423791822
0.252384698338093,0.595238095238095,1,0.746268656716418
0.253138441889938,0.598802395209581,1,0.749063670411985
0.264615000222557,0.602409638554217,1,0.75187969924812
0.266511306103595,0.606060606060606,1,0.754716981132076
0.269689237864826,0.609756097560976,1,0.757575757575757
0.270093396966702,0.613496932515337,1,0.760456273764259
0.270624640226458,0.617283950617284,1,0.763358778625954
0.271434902840467,0.62111801242236,1,0.766283524904215
0.272212806721236,0.625,1,0.769230769230769
0.272753059074981,0.628930817610063,1,0.772200772200772
0.273800456503391,0.632911392405063,1,0.775193798449612
0.277522894394742,0.636942675159236,1,0.778210116731518
0.278239364985681,0.641025641025641,1,0.78125
0.279028666161126,0.645161290322581,1,0.784313725490196
0.280230177402585,0.649350649350649,1,0.78740157480315
0.280477880210125,0.65359477124183,1,0.790513833992095
0.280587646424173,0.657894736842105,1,0.793650793650794
0.282346588576855,0.662251655629139,1,0.796812749003984
0.286678252049227,0.666666666666667,1,0.8
0.286971534685428,0.671140939597315,1,0.803212851405623
0.293213444645731,0.675675675675676,1,0.806451612903226
0.296522891397152,0.680272108843537,1,0.809716599190283
0.297997214835746,0.684931506849315,1,0.813008130081301
0.302288979275163,0.689655172413793,1,0.816326530612245
0.302304562442511,0.694444444444444,1,0.819672131147541
0.303347988224445,0.699300699300699,1,0.823045267489712
0.305129035584877,0.704225352112676,1,0.826446280991735
0.310009283313932,0.709219858156028,1,0.829875518672199
0.312404980000319,0.714285714285714,1,0.833333333333333
0.318368909586194,0.719424460431655,1,0.836820083682008
0.328198406367056,0.72463768115942,1,0.840336134453781
0.330352079464935,0.72992700729927,1,0.843881856540084
0.330753515923825,0.735294117647059,1,0.847457627118644
0.333351083306581,0.740740740740741,1,0.851063829787234
0.335017941060331,0.746268656716418,1,0.854700854700855
0.33913536044329,0.75187969924812,1,0.858369098712446
0.345167941892824,0.757575757575758,1,0.862068965517241
0.345502955644433,0.763358778625954,1,0.865800865800866
0.34669144356847,0.769230769230769,1,0.869565217391304
0.348996532117395,0.775193798449612,1,0.873362445414847
0.350797465090595,0.78125,1,0.87719298245614
0.352006010145546,0.78740157480315,1,0.881057268722467
0.355278334594455,0.793650793650794,1,0.884955752212389
0.362519035708763,0.8,1,0.888888888888889
0.366014314104698,0.806451612903226,1,0.892857142857143
0.370154145816328,0.813008130081301,1,0.896860986547085
0.373936312360447,0.819672131147541,1,0.900900900900901
0.379141606162863,0.826446280991736,1,0.904977375565611
0.382521889422849,0.833333333333333,1,0.909090909090909
0.38260627902116,0.840336134453782,1,0.91324200913242
0.384037552975391,0.847457627118644,1,0.91743119266055
0.386202161155692,0.854700854700855,1,0.921658986175115
0.396095386974057,0.862068965517241,1,0.925925925925926
0.396422942263163,0.869565217391304,1,0.930232558139535
0.401868528212858,0.87719298245614,1,0.934579439252336
0.403909065350496,0.884955752212389,1,0.938967136150235
0.40557158380051,0.892857142857143,1,0.943396226415094
0.409842461788862,0.891891891891892,0.99,0.938388625592417
0.412749227834159,0.9,0.99,0.942857142857143
0.42606587091209,0.908256880733945,0.99,0.947368421052632
0.435138576842666,0.916666666666667,0.99,0.951923076923077
0.435459432800464,0.925233644859813,0.99,0.956521739130435
0.437897197791661,0.933962264150943,0.99,0.961165048543689
0.443669662271894,0.942857142857143,0.99,0.965853658536585
0.452697668673337,0.951923076923077,0.99,0.970588235294118
0.465549759288735,0.961165048543689,0.99,0.975369458128079
0.471188778298155,0.970588235294118,0.99,0.98019801980198
0.474115313899635,0.98019801980198,0.99,0.985074626865672
0.506697708214901,0.98,0.98,0.98
0.520532115854488,0.97979797979798,0.97,0.974874371859296
0.52884835811463,0.979591836734694,0.96,0.96969696969697
0.550840968936239,0.979381443298969,0.95,0.964467005076142
0.552599969211831,0.979166666666667,0.94,0.959183673469388
0.55776240749085,0.989473684210526,0.94,0.964102564102564
