M,AUC_Simpson,Trapecio_AUC
21,0.602613721799605,0.605234255121977
51,0.605029265308772,0.605234255121977
101,0.605394654590867,0.605234255121977
201,0.605353431508556,0.605234255121977
501,0.605299871006998,0.605234255121977
1001,0.605327291567313,0.605234255121977
